"No.","Name","Pos.","Cl.","Ht.","Hometown/Last School"
"1","Annabelle 										  															Denommé 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Annabelle 										  															Denommé","Pos.: 								 																		 												L","Cl.: 								 																		 												So.","Ht.: 								 																		 												5-6","Hometown/Last School: 								 																		 	 																		Clarence-Rockland, Canada 										/"
"2","Breanna 										  															Ginley 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Breanna 										  															Ginley","Pos.: 								 																		 												MB","Cl.: 								 																		 												Jr","Ht.: 								 																		 												6-3","Hometown/Last School: 								 																		 	 																		North Ridgeville OH 										/ 																										North Ridgeville (Marshall University)"
"3","Amanda 										  															Tokam 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Amanda 										  															Tokam","Pos.: 								 																		 												MB/OPP","Cl.: 								 																		 												Sr.","Ht.: 								 																		 												5-11","Hometown/Last School: 								 																		 	 																		Lowes Island, VA 										/ 																										Independence (University of New Haven)"
"4","Gabriella 										  															Burdier 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Gabriella 										  															Burdier","Pos.: 								 																		 												DS","Cl.: 								 																		 												Fr","Ht.: 								 																		 												5-6","Hometown/Last School: 								 																		 	 																		Haverhill MA 										/ 																										Haverhill"
"5","Olivia 										  															Keckler 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Olivia 										  															Keckler","Pos.: 								 																		 												OPP","Cl.: 								 																		 												So.","Ht.: 								 																		 												6-1","Hometown/Last School: 								 																		 	 																		Easton, PA 										/ 																										Easton Area"
"6","Molly 										  															Thomas 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Molly 										  															Thomas","Pos.: 								 																		 												DS","Cl.: 								 																		 												Fr","Ht.: 								 																		 												5-2","Hometown/Last School: 								 																		 	 																		Westminster MD 										/ 																										Westminster"
"7","Ivanka 										  															Sikiric 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Ivanka 										  															Sikiric","Pos.: 								 																		 												S","Cl.: 								 																		 												Sr","Ht.: 								 																		 												5-11","Hometown/Last School: 								 																		 	 																		Allendale NJ 										/ 																										Northern Highlands Regional (Coppin State University)"
"8","Savannah 										  															Hughes 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Savannah 										  															Hughes","Pos.: 								 																		 												MB","Cl.: 								 																		 												Fr","Ht.: 								 																		 												6-3","Hometown/Last School: 								 																		 	 																		Chattanooga TN 										/ 																										East Hamilton"
"9","Sonja 										  															Lind 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Sonja 										  															Lind","Pos.: 								 																		 												MB/OPP","Cl.: 								 																		 												Fr","Ht.: 								 																		 												6-1","Hometown/Last School: 								 																		 	 																		Cottage Grove MN 										/ 																										Park"
"10","Anja 										  															Milosevic 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Anja 										  															Milosevic","Pos.: 								 																		 												S","Cl.: 								 																		 												Jr","Ht.: 								 																		 												5-11","Hometown/Last School: 								 																		 	 																		Belgrade Serbia 										/ 																										Sports Gymnasium (Butler (KS) Community College)"
"11","Cullen 										  															Winter 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Cullen 										  															Winter","Pos.: 								 																		 												MB","Cl.: 								 																		 												Fr","Ht.: 								 																		 												6-2","Hometown/Last School: 								 																		 	 																		Orono MN 										/ 																										Orono Senior"
"12","Weronika 										  															Poczynek 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Weronika 										  															Poczynek","Pos.: 								 																		 												OH","Cl.: 								 																		 												Sr.","Ht.: 								 																		 												5-7","Hometown/Last School: 								 																		 	 																		Gizycko, Poland 										/ 																										Sports Championship HS"
"13","Aubrey 										  															Stitcher 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Aubrey 										  															Stitcher","Pos.: 								 																		 												OH/DS","Cl.: 								 																		 												So","Ht.: 								 																		 												5-9","Hometown/Last School: 								 																		 	 																		Noblesville IN 										/ 																										Noblesville (Austin Peay University)"
"14","Allyson 										  															Voight 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Allyson 										  															Voight","Pos.: 								 																		 												MB","Cl.: 								 																		 												Jr.","Ht.: 								 																		 												5-10","Hometown/Last School: 								 																		 	 																		East Longmeadow, MA 										/ 																										East Longmeadow"
"17","Kylee 										  															Baranski 				 											 											 												 													 																																																																																																																																																																																																																																						 												 											 										 									 								 								 										 	 																		Kylee 										  															Baranski","Pos.: 								 																		 												S/DS","Cl.: 								 																		 												Jr.","Ht.: 								 																		 												5-10","Hometown/Last School: 								 																		 	 																		Bowling Green, OH 										/ 																										Otsego"
